母券商,買張,賣張,買賣超,均買價,均賣價
H元大景美,2,14,-12,179.67,177.82
U元富,36,49,-13,177.18,176.44
Z國票安和,1,14,-13,173.55,177.82
C富邦,67,81,-14,178.41,175.44
F凱基站前,38,52,-14,175.33,175.76
9A9h永豐,19,33,-14,176.63,175.94
D元富大昌,17,31,-14,178.86,177.03
w元大,5,19,-14,176.56,175.83
Y統一土城,3,17,-14,174.83,176.19
r兆豐寶成,13,28,-15,175.23,178.57
京城,7,22,-15,173.29,177.36
q兆豐,2,17,-15,179.25,173.53
n元富西松,1,16,-15,173.39,176.44
聯邦大業,26,42,-16,182.87,174.24
N群益土城,15,31,-16,176.8,174.93
A台新,47,64,-17,179.43,174.41
G凱基,9,26,-17,176.38,177.59
玉山雙和,5,22,-17,176.86,173.96
第一,67,85,-18,176.81,175.22
國票綜合,36,54,-18,173.84,178.06
土銀,35,53,-18,177.37,174.21
口袋,27,45,-18,179.18,177.15
U元大,10,28,-18,178.26,177.12
B富邦二林,12,31,-19,176.29,173.03
凱基豐中,5,24,-19,177.99,173.39
G兆豐麻豆,1,20,-19,177,174.88
9A9W永豐市政,20,40,-20,176.42,174.05
D元大,11,32,-21,177.59,175.21
m元大前金,20,42,-22,178.95,175.8
中信託文,20,42,-22,177.88,176.55
美好,46,69,-23,179.02,176.64
K元大,36,59,-23,174.3,176.76
F統一,4,27,-23,176,177.31
9A8F永豐,12,36,-24,175.74,178.07
元大,2834,2859,-25,176.9,178.07
S元大鹿港,15,41,-26,178.06,175.62
q元大,9,36,-27,177.52,177.9
G元大上新,6,33,-27,176.39,174.89
l元大,4,32,-28,178.06,179.69
高橋,11,40,-29,176.8,176.39
凱基東港,4,33,-29,177.11,175.68
台新建北,13,45,-32,177.57,175.23
統一城中,6,40,-34,174.26,178.42
中信託新,24,60,-36,180.47,177.34
G元大大同,6,44,-38,176.6,180.33
U宏遠,5,45,-40,178.89,181
Z凱基,2,42,-40,177.49,176.31
S台新,14,56,-42,179.4,176.11
F元大忠鼎,5,50,-45,177.1,177.5
9A9R永豐,3,48,-45,178.87,177.42
凱基,3281,3334,-53,176.59,177.57
A康和,107,160,-53,173.48,173.48
S兆豐大同,54,110,-56,176.58,174.09
j國票和平,4,71,-67,176.71,177.55
r元富城東,13,92,-79,175.29,175.75
華南,334,425,-91,177.84,176.62
第一金證,8,111,-103,175.36,180.96
台新,144,254,-110,176.88,177.39
C群益古亭,47,213,-166,176.07,181.93
上海匯豐,8,207,-199,174,174.19
港麥格理,0,332,-332,,175.45
中國信託,108,462,-354,176.37,178.35
元富,204,611,-407,177.84,172.51
富邦,881,1337,-456,176.42,176.34
統一,147,673,-526,176.98,174.73
國泰綜合,13,850,-837,178.13,177.28
台灣匯立,0,1274,-1274,,175.29
兆豐,106,1468,-1362,175.85,175.98
